事項內容,急迫性,重要性,到期日,標籤,狀態,建立時間,執行番茄數,中斷次數,手動結束
畫機構設計期中作業,高,高,2025/10/23(四),作業,已完成,2025-10-19 10:47,0,4,4
做程式語言HW3,高,高,2025/10/23(四),作業,已完成,2025-10-20 10:47,0,2,1
寫統計學作業,高,高,2025/10/21(二),作業,已完成,2025-10-21 10:47,0,4,1
教概心得,高,高,2025/10/28(二),作業,進行中,2025-10-22 10:47,0,2,2
機械製造題庫,高,高,2025/10/26(日),考試,進行中,2025-10-23 10:47,0,3,3
做束口袋,低,高,2025/10/28(二),學校事務,未開始,2025-10-24 14:19,0,0,0
練習鑿刀,低,低,2025/11/10(一),作業,未開始,2025-10-24 20:24,0,0,0
高齡市集,低,低,2025/11/25(二),活動參加,進行中,2025-10-24 20:25,0,1,1
韓國旅行,低,低,2025/10/25(六),日常生活,未開始,2025-10-24 20:25,0,0,0
獎學金,低,低,2025/11/08(六),學校事務,進行中,2025-10-24 20:26,0,0,0
科技系統展覽心得,低,低,2025/10/26(日),作業,進行中,2025-10-24 20:27,0,0,0
普心期中,高,高,2025/10/22(三),考試,已完成,2025-10-24 20:28,0,0,0
統計學期中,高,低,2025/10/21(二),考試,已完成,2025-10-24 20:28,0,0,0
電腦輔助製圖,低,低,2025/10/24(五),考試,已完成,2025-10-24 21:44,0,0,0
科技系統,低,低,2025/10/24(五),考試,進行中,2025-10-24 21:45,0,0,0
機械製造槌子,低,低,2025/11/30(日),作業,已完成,2025-10-24 22:43,0,4,3
